ref,写法,读音,中文释义,原英文释义
lesson_n5:w057,一,いち,一,one
lesson_n5:w058,一日,いちにち,一天,one day (duration)
lesson_n5:w059,一番,いちばん,最，第一,"best (most), first, number one"
lesson_n5:w060,---,いつ,什么时候,when
lesson_n5:w061,五日,いつか,五天，五号,five days; fifth day of the month
lesson_n5:w062,一緒,いっしょ,一起,together
lesson_n5:w063,五つ,いつつ,五个，五岁,five things
lesson_n5:w064,---,いつも,总是，经常,"always, usually, every time, never (with neg. verb)"
lesson_n5:w065,犬,いぬ,狗,dog
lesson_n5:w066,今,いま,现在,now
lesson_n5:w067,意味,いみ,意思，含义,"meaning, significance"
lesson_n5:w068,妹,いもうと,妹妹（指自己的）,younger sister (humble)
lesson_n5:w069,嫌,いや,讨厌，不喜欢,"disagreeable, detestable, unpleasant"
lesson_n5:w070,入口,いりぐち,入口,entrance
lesson_n5:w071,居る,いる,有，在（生物）,"(humble) to be (animate), to exist"
lesson_n5:w072,要る,いる,需要,to need
lesson_n5:w073,入れる,いれる,放进，装入,to put in
lesson_n5:w074,色,いろ,颜色,color
lesson_n5:w075,色々,いろいろ,各种各样,various
lesson_n5:w076,上,うえ,上面，上边,"above (up, top, etc.), over, on top of"
lesson_n5:w077,後ろ,うしろ,后面，背后,"back, behind, rear"
lesson_n5:w078,薄い,うすい,薄，淡,"thin, weak"
lesson_n5:w079,歌,うた,歌，歌曲,a song
lesson_n5:w080,歌う,うたう,唱（歌）,to sing
lesson_n5:w081,---,うち,家，我家（口语）,home; house; my place
lesson_n5:w082,生まれる,うまれる,出生,to be born
lesson_n5:w083,海,うみ,海，海边,"sea, beach"
lesson_n5:w084,売る,うる,卖,to sell (v.t.)
lesson_n5:w085,---,うるさい,吵，烦人,noisy; annoying
lesson_n5:w086,上着,うわぎ,外套，上衣,"coat, jacket"
lesson_n5:w087,絵,え,画，图画,a painting; a picture; a drawing
lesson_n5:w088,映画,えいが,电影,"movie, film"
lesson_n5:w089,映画館,えいがかん,电影院,"movie theater, cinema"
lesson_n5:w090,英語,えいご,英语,English (language)
lesson_n5:w091,---,ええ,嗯，是（随和的应答）,yes
lesson_n5:w092,駅,えき,车站,station
lesson_n5:w093,---,エレベーター,elevator，电梯,elevator
lesson_n5:w094,鉛筆,えんぴつ,铅笔,pencil
lesson_n5:w095,美味しい,おいしい,好吃，美味,"delicious, tasty"
lesson_n5:w096,多い,おおい,多,many; there are a lot
lesson_n5:w097,大きい,おおきい,大,"big, large"
lesson_n5:w098,大きな,おおきな,大的（只接名词）,big
lesson_n5:w099,大勢,おおぜい,很多人，众人,great number of people
lesson_n5:w100,お母さん,おかあさん,妈妈,mother (formal)
lesson_n5:w101,お菓子,おかし,点心，零食,"confections, sweets, snack"
lesson_n5:w102,お金,おかね,钱,money
lesson_n5:w103,起きる,おきる,起床，起来,"to get up (e.g., from sleeping); to happen"
lesson_n5:w104,置く,おく,放，放置,to put; to lay; to place
lesson_n5:w105,奥さん,おくさん,夫人，太太（别人的妻子）,(someone else's) wife (hon.)
lesson_n5:w106,お酒,おさけ,酒，日本酒,sake; alcohol
lesson_n5:w107,お皿,おさら,盘子,"plate, dish"
lesson_n5:w108,伯父,おじさん,叔叔，伯伯，中年男人,"uncle, middle-aged man"
lesson_n5:w109,---,おじいさん,爷爷，老爷爷,"grandfather, male senior citizen"
lesson_n5:w110,教える,おしえる,教，告诉,"to teach, to inform, to instruct"
lesson_n5:w111,押す,おす,按，推,"to push, to press, to stamp (e.g., a passport)"
lesson_n5:w112,遅い,おそい,慢，晚,slow; (to be) late
lesson_n5:w113,お茶,おちゃ,茶,(green) tea
lesson_n5:w114,お手洗い,おてあらい,洗手间，厕所,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
lesson_n5:w115,お父さん,おとうさん,爸爸,father (formal)
lesson_n5:w116,弟,おとうと,弟弟（指自己的）,younger brother
lesson_n5:w117,男,おとこ,男人，男性,"man, male"
lesson_n5:w118,男の子,おとこのこ,男孩,boy
lesson_n5:w119,一昨日,おととい,前天,the day before yesterday
lesson_n5:w120,---,おととし,前年,year before last
lesson_n5:w121,大人,おとな,大人,adult
lesson_n5:w122,お腹,おなか,肚子,stomach
lesson_n5:w123,同じ,おなじ,一样，相同,"same, identical"
lesson_n5:w124,お兄さん,おにいさん,哥哥（别人的）,(someone else's) older brother (formal)
lesson_n5:w125,お姉さん,おねえさん,姐姐（别人的）,older sister (formal)
lesson_n5:w126,伯母さん,おばさん,阿姨，姑姑，中年女性,aunt
lesson_n5:w127,---,おばあさん,奶奶，老奶奶,"grandmother, female senior-citizen"
lesson_n5:w128,お風呂,おふろ,洗澡，泡澡,a bath
lesson_n5:w129,お弁当,おべんとう,便当，盒饭,a boxed lunch
lesson_n5:w130,覚える,おぼえる,记住，学会,"to learn, to commit to memory, to remember, to memorize"
lesson_n5:w131,---,おまわりさん,警察（亲切说法）,policeman (friendly term)
lesson_n5:w132,重い,おもい,重，沉重,heavy; serious
lesson_n5:w133,面白い,おもしろい,有趣，有意思,"interesting, amusing"
lesson_n5:w134,泳ぐ,およぐ,游泳,to swim
lesson_n5:w135,降りる,おりる,下车，下来,to get off
lesson_n5:w136,終る,おわる,结束，完,"to finish, to close"
lesson_n5:w137,音楽,おんがく,音乐,Music
lesson_n5:w138,女,おんな,女人，女性,"woman, female"
lesson_n5:w139,女の子,おんなのこ,女孩,girl
lesson_n5:w140,外国,がいこく,外国，国外,foreign country; abroad
lesson_n5:w141,外国人,がいこくじん,外国人,foreigner
lesson_n5:w142,会社,かいしゃ,公司,"company, corporation"
lesson_n5:w143,階段,かいだん,楼梯,stairs
lesson_n5:w144,買い物,かいもの,买东西，购物,shopping
lesson_n5:w145,買う,かう,买,to buy
lesson_n5:w146,返す,かえす,还，归还,to return something
lesson_n5:w147,帰る,かえる,回家，回去,"to go back, to go home, to return"
lesson_n5:w148,顔,かお,脸,face (body part)
lesson_n5:w149,---,かかる,花费（时间、金钱）,"it takes (amount of time, money) (v.i.)"
lesson_n5:w150,鍵,かぎ,钥匙，锁,a lock; a key
lesson_n5:w151,書く,かく,写,to write
lesson_n5:w152,学生,がくせい,学生,student
lesson_n5:w153,掛ける,かける,挂，戴（眼镜）,"to put on (e.g., glasses); to hang (e.g., on a wall)"
lesson_n5:w154,---,かける,打（电话），坐下,"to dial/call (e.g., phone); to sit down"
lesson_n5:w155,傘,かさ,伞,"umbrella, parasol"
lesson_n5:w156,貸す,かす,借出，借给,to lend
lesson_n5:w157,風,かぜ,风,"wind, breeze"
lesson_n5:w158,風邪,かぜ,感冒,"cold, flu"
lesson_n5:w159,方,かた,位（人的敬称），方法,-- honorific form for 人 (ひと) --; way of doing
lesson_n5:w160,家族,かぞく,家人，家庭,"family, members of a family"
lesson_n5:w161,片仮名,かたかな,片假名,katakana
lesson_n5:w162,学校,がっこう,学校,a school
lesson_n5:w163,---,カップ,cup，杯子,cup
lesson_n5:w164,家庭,かてい,家庭，家,home; family
lesson_n5:w165,角,かど,角，拐角,"corner (e.g., desk, pavement)"
lesson_n5:w166,---,かばん,包，书包,"bag, basket"
lesson_n5:w167,花瓶,かびん,花瓶,(flower) vase
lesson_n5:w168,---,かぶる,戴（帽子）,"to wear, to put on (e.g., a hat on the head)"
lesson_n5:w169,紙,かみ,纸,paper
lesson_n5:w170,---,カメラ,camera，照相机,camera
lesson_n5:w171,火曜日,かようび,星期二,Tuesday
lesson_n5:w172,辛い,からい,辣，咸,hot and spicy; salty
lesson_n5:w173,体,からだ,身体,body; health
lesson_n5:w174,借りる,かりる,借来，借入,"to borrow, to owe"
lesson_n5:w175,軽い,かるい,轻,"light, non-serious, minor"
lesson_n5:w176,---,カレー,curry，咖喱,curry (abbr. for curry and rice)
lesson_n5:w177,---,カレンダー,calendar，日历,calendar
lesson_n5:w178,川,かわ,河，河流,river
lesson_n5:w179,可愛い,かわいい,可爱,"cute, adorable"
lesson_n5:w180,漢字,かんじ,汉字,kanji; Chinese character
lesson_n5:w181,木,き,树，木头,"tree, wood, timber"
lesson_n5:w182,黄色,きいろ,黄色,yellow
lesson_n5:w183,黄色い,きいろい,黄色的,yellow
lesson_n5:w184,消える,きえる,消失，熄灭,"to vanish, to disappear"
lesson_n5:w185,聞く,きく,听，问,"to hear, to listen, to ask"
lesson_n5:w186,北,きた,北，北方,north
lesson_n5:w187,---,ギター,guitar，吉他,guitar
lesson_n5:w188,汚い,きたない,脏,"dirty, unclean, filthy"
lesson_n5:w189,喫茶店,きっさてん,咖啡馆，茶馆,café
lesson_n5:w190,切手,きって,邮票,postal (postage) stamps
lesson_n5:w191,切符,きっぷ,票（车票等）,a ticket
lesson_n5:w192,昨日,きのう,昨天,yesterday
lesson_n5:w193,九,きゅう,九,nine
lesson_n5:w194,牛肉,ぎゅうにく,牛肉,beef
lesson_n5:w195,牛乳,ぎゅうにゅう,牛奶,milk
lesson_n5:w196,今日,きょう,今天,"today, this day"
lesson_n5:w197,教室,きょうしつ,教室,classroom
lesson_n5:w198,兄弟,きょうだい,兄弟姐妹,"siblings (humble), brothers and sisters"
lesson_n5:w199,去年,きょねん,去年,last year
lesson_n5:w200,嫌い,きらい,讨厌，不喜欢,dislike
lesson_n5:w201,切る,きる,切，剪；挂断（电话）,to cut; to hang up (a phone)
lesson_n5:w202,着る,きる,穿（上衣）,to put on (clothes above your waist); to wear
lesson_n5:w203,綺麗,きれい,漂亮，干净,"pretty, clean, tidy"
lesson_n5:w204,---,きろ,公斤,(abbr.) kilo (kilogram)
lesson_n5:w205,---,きろ,公里,(abbr.) kilo (kilometer)
lesson_n5:w206,銀行,ぎんこう,银行,bank
lesson_n5:w207,金曜日,きんようび,星期五,Friday
lesson_n5:w208,九,く,九（另一种读法）,nine
lesson_n5:w209,薬,くすり,药,medicine
lesson_n5:w210,下さい,ください,请给（我）,(with te-form verb) please do for me
lesson_n5:w211,果物,くだもの,水果,fruit
lesson_n5:w212,口,くち,嘴，口,job opening; mouth
lesson_n5:w213,靴,くつ,鞋,"shoes, footwear"
lesson_n5:w214,靴下,くつした,袜子,socks
lesson_n5:w215,国,くに,国家，家乡,country; place of origin
lesson_n5:w216,曇り,くもり,阴天,"cloudiness, cloudy weather"
lesson_n5:w217,曇る,くもる,天阴，阴下来,"to become cloudy, to become dim"
lesson_n5:w218,暗い,くらい,暗，昏暗,"dark, gloomy"
lesson_n5:w219,---,クラス,class，班，班级,a class
lesson_n5:w220,---,グラム,gram，克,gram
lesson_n5:w221,来る,くる,来,to come
lesson_n5:w222,車,くるま,车，汽车,"car, vehicle"
lesson_n5:w223,黒,くろ,黑色,black
lesson_n5:w224,黒い,くろい,黑的,black; dark
lesson_n5:w225,警官,けいかん,警察，警官,police officer
lesson_n5:w226,今朝,けさ,今天早上,this morning
lesson_n5:w227,消す,けす,关掉，消除,"to erase, to delete, to turn off power"
lesson_n5:w228,結構,けっこう,足够，挺好；不用了（客气拒绝）,"splendid; enough, tolerably"
lesson_n5:w229,月曜日,げつようび,星期一,Monday
lesson_n5:w230,玄関,げんかん,门口，玄关,entrance (to a house or a building)
lesson_n5:w231,元気,げんき,精神，健康,"health(y), energetic"
lesson_n5:w232,五,ご,五,five
lesson_n5:w233,公園,こうえん,公园,a park
lesson_n5:w234,交差点,こうさてん,十字路口,intersection
lesson_n5:w235,紅茶,こうちゃ,红茶,black tea
lesson_n5:w236,交番,こうばん,派出所,police box
lesson_n5:w237,声,こえ,声音,voice
lesson_n5:w238,---,コート,coat，外套；court，球场,"coat; court (e.g., tennis)"
lesson_n5:w239,---,コーヒー,coffee，咖啡,coffee
lesson_n5:w240,---,ここ,这里,"here, this place"
lesson_n5:w241,午後,ごご,下午,"afternoon, P.M."
lesson_n5:w242,九日,ここのか,九天，九号,nine days; ninth day of the month
lesson_n5:w243,九つ,ここのつ,九个，九岁,nine things
lesson_n5:w244,午前,ごぜん,上午,"morning, A.M."
lesson_n5:w245,答える,こたえる,回答,"to answer, to reply"
lesson_n5:w246,---,こちら,这位；这边（礼貌说法）,this person (polite); this way (polite)
lesson_n5:w247,---,こっち,这个，这边（口语）,this person; this direction; this side
lesson_n5:w248,---,コップ,glass，杯子,a tumbler; a glass
lesson_n5:w249,今年,ことし,今年,this year
lesson_n5:w250,言葉,ことば,语言，词语,language; word(s); expression(s)
lesson_n5:w251,子供,こども,孩子,child(ren)
lesson_n5:w252,---,この,这个（后接名词）,this
lesson_n5:w253,御飯,ごはん,米饭，饭,rice (cooked); meal
lesson_n5:w254,---,こぴーする,复印,to copy
lesson_n5:w255,困る,こまる,为难，困扰,"to be bothered, to have difficulty"
lesson_n5:w256,---,これ,这个,this one
lesson_n5:w257,今月,こんげつ,这个月,this month
lesson_n5:w258,今週,こんしゅう,本周，这星期,this week
lesson_n5:w259,---,こんな,这样的,"such, like this"
lesson_n5:w260,今晩,こんばん,今晚,"tonight, this evening"
lesson_n5:w261,---,さあ,那么，来吧（劝诱、催促）,"come now, well"
lesson_n5:w262,財布,さいふ,钱包,wallet
lesson_n5:w263,魚,さかな,鱼,fish
lesson_n5:w264,先,さき,前面，前方，将来,"future; recent, previous"
lesson_n5:w265,咲く,さく,开（花）,to bloom
lesson_n5:w266,作文,さくぶん,作文,essay; composition
lesson_n5:w267,差す,さす,撑（伞），举（手）,"to raise (stretch out) hands, to raise (e.g., umbrella)"
lesson_n5:w268,雑誌,ざっし,杂志,"magazine, journal"
lesson_n5:w269,砂糖,さとう,糖，砂糖,sugar
lesson_n5:w270,寒い,さむい,冷（天气冷）,cold (in reference to weather)
lesson_n5:w271,さ来年,さらいねん,后年,year after next
lesson_n5:w272,三,さん,三,three
lesson_n5:w273,四,し,四（し的读法）,four
lesson_n5:w274,塩,しお,盐,salt
lesson_n5:w275,---,しかし,可是，但是,however; but
lesson_n5:w276,時間,じかん,时间,time
lesson_n5:w277,仕事,しごと,工作,"work, job, occupation, employment"
lesson_n5:w278,辞書,じしょ,词典,dictionary
lesson_n5:w279,静か,しずか,安静,"quiet, calm"
lesson_n5:w280,下,した,下面，下边,"under, below, beneath"
lesson_n5:w281,七,しち,七,seven
lesson_n5:w282,質問,しつもん,提问，问题,"question, inquiry"
lesson_n5:w283,自転車,じてんしゃ,自行车,bicycle
lesson_n5:w284,自動車,じどうしゃ,汽车,automobile
lesson_n5:w285,死ぬ,しぬ,死,to die
lesson_n5:w286,字引,じびき,字典,dictionary
lesson_n5:w287,自分,じぶん,自己,"myself, oneself"
lesson_n5:w288,閉まる,しまる,关上，关着（自动词）,"to close, to be closed"
lesson_n5:w289,閉める,しめる,关上（他动词）,"to close, to shut"
lesson_n5:w290,締める,しめる,系紧，勒紧,"to tie, to fasten, to tighten"
lesson_n5:w291,---,じゃ,那么,"well, well then"
lesson_n5:w292,写真,しゃしん,照片,a picture; a photograph
lesson_n5:w293,---,シャツ,shirt，衬衫,shirt
lesson_n5:w294,---,シャワー,shower，淋浴,shower
lesson_n5:w295,十,じゅう,十,ten
lesson_n5:w296,授業,じゅぎょう,课，上课,a class (of school)
lesson_n5:w297,宿題,しゅくだい,作业,homework
lesson_n5:w298,上手,じょうず,擅长，拿手,"be good at, skillful"
lesson_n5:w299,丈夫,じょうぶ,结实，坚固,"strong, solid, durable"
lesson_n5:w300,醤油,しょうゆ,酱油,soy sauce
lesson_n5:w301,食堂,しょくどう,食堂,"cafeteria, dining hall"
lesson_n5:w302,知る,しる,知道，认识,"to know, to understand"
lesson_n5:w303,白,しろ,白色,white
lesson_n5:w304,白い,しろい,白的,white
lesson_n5:w305,新聞,しんぶん,报纸,newspaper
lesson_n5:w306,水曜日,すいようび,星期三,Wednesday
lesson_n5:w307,吸う,すう,吸，抽（烟）,"to breathe in, to suck"
lesson_n5:w308,---,スカート,skirt，裙子,skirt
lesson_n5:w309,好き,すき,喜欢,"liking, fondness, love"
lesson_n5:w310,少ない,すくない,少,a little; a few
lesson_n5:w311,---,すぐに,马上，立刻,"immediately, soon"
lesson_n5:w312,少し,すこし,一点，稍微,"little, few"
lesson_n5:w313,涼しい,すずしい,凉爽,"cool, refreshing (in reference to weather)"
lesson_n5:w314,---,ストーブ,stove，炉子，暖炉,heater (lit: stove)
lesson_n5:w315,---,スプーン,spoon，勺子,spoon
lesson_n5:w316,---,スポーツ,sports，运动,sport(s)
lesson_n5:w317,---,ズボン,裤子,trousers
lesson_n5:w318,住む,すむ,住，居住,"to reside, to live in"
lesson_n5:w319,---,する,做，干；戴（领带、手表等小物）,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
lesson_n5:w320,座る,すわる,坐,to sit
lesson_n5:w321,背,せい,身高,"(one's) height, stature"
lesson_n5:w322,生徒,せいと,学生，中小学生,student; pupil
lesson_n5:w323,---,セーター,sweater，毛衣,sweater
lesson_n5:w324,石鹸,せっけん,肥皂,soap
lesson_n5:w325,背広,せびろ,西装（男式）,men's suit
lesson_n5:w326,狭い,せまい,窄，狭窄,narrow; not spacious
lesson_n5:w327,---,ゼロ,zero，零,zero
lesson_n5:w328,千,せん,千,thousand
lesson_n5:w329,先月,せんげつ,上个月,last month
lesson_n5:w330,先週,せんしゅう,上周,last week
lesson_n5:w331,先生,せんせい,老师,"teacher, professor; master; doctor"
lesson_n5:w332,洗濯,せんたく,洗衣服,"washing, laundry"
lesson_n5:w333,全部,ぜんぶ,全部,"all, entire, whole"
lesson_n5:w334,---,そう,是的；那样,"yes; appears, to be the case"
lesson_n5:w335,---,そうして,然后，那样做,"and, like that"
lesson_n5:w336,---,そこ,那里,"that place, there; bottom, sole"
lesson_n5:w337,---,そちら,那边，那位（礼貌说法）,over there
lesson_n5:w338,---,そっち,那边（口语）,over there
lesson_n5:w339,外,そと,外面,"outside, exterior"
lesson_n5:w340,---,その,那个（后接名词）,that
lesson_n5:w341,---,そば,旁边；荞麦面,"near, close, beside; Japanese traditional buckwheat noodle"
lesson_n5:w342,空,そら,天空,sky
lesson_n5:w343,---,それ,那个,that one
lesson_n5:w344,---,それから,然后，之后,"and then, after that"
lesson_n5:w345,---,それでは,那么,"in that situation, well then..."
lesson_n5:w346,大学,だいがく,大学,college; university
lesson_n5:w347,大使館,たいしかん,大使馆,embassy
lesson_n5:w348,大丈夫,だいじょうぶ,没问题，不要紧,It's ok (all right); No need to worry; Everything is under control
lesson_n5:w349,大好き,だいすき,非常喜欢,"very like-able, like very much"
lesson_n5:w350,大切,たいせつ,重要，珍惜,important
lesson_n5:w351,台所,だいどころ,厨房,kitchen
lesson_n5:w352,大変,たいへん,辛苦，够呛；非常,"very; difficult, hard"
lesson_n5:w353,高い,たかい,高，贵,"tall, high; expensive"
lesson_n5:w354,沢山,たくさん,很多,"many, much"
lesson_n5:w355,---,タクシー,taxi，出租车,taxi
lesson_n5:w356,出す,だす,拿出，交出,to take (something) out; to hand in (something)
lesson_n5:w357,立つ,たつ,站，立,to stand up
lesson_n5:w358,---,たて,纵向，长度,"length, height"
lesson_n5:w359,建物,たてもの,建筑物，楼房,building
lesson_n5:w360,楽しい,たのしい,愉快，快乐,"enjoyable, fun"
lesson_n5:w361,頼む,たのむ,拜托，请求,"to request, to ask (a favor)"
lesson_n5:w362,---,たばこ,香烟,"tobacco, cigarettes"
lesson_n5:w363,多分,たぶん,大概，也许,"perhaps, probably, maybe"
lesson_n5:w364,食べ物,たべもの,食物,food
lesson_n5:w365,食べる,たべる,吃,to eat
lesson_n5:w366,卵,たまご,蛋，鸡蛋,egg
lesson_n5:w367,誰,だれ,谁,who
lesson_n5:w368,誰か,だれか,某人，有人,someone
lesson_n5:w369,誕生日,たんじょうび,生日,birthday
lesson_n5:w370,段々,だんだん,渐渐，逐渐,"gradually, by degrees"
lesson_n5:w371,小さい,ちいさい,小,"small, little"
lesson_n5:w372,小さな,ちいさな,小的（只接名词）,"small, little"
lesson_n5:w373,近い,ちかい,近,"near, close by, short"
lesson_n5:w374,違う,ちがう,不同，不对,to be different; to differ; wrong
lesson_n5:w375,近く,ちかく,附近,nearby; in the neighborhood
lesson_n5:w376,地下鉄,ちかてつ,地铁,"underground train, subway"
lesson_n5:w377,地図,ちず,地图,a map
lesson_n5:w378,父,ちち,父亲（指自己的）,(my) father
lesson_n5:w379,茶色,ちゃいろ,茶色，棕色,brown
lesson_n5:w380,茶碗,ちゃわん,饭碗,rice bowl
lesson_n5:w381,丁度,ちょうど,正好，恰好,"just, right, exactly"
lesson_n5:w382,---,ちょっと,稍微，一点,"a little, somewhat; just a little, somewhat"
lesson_n5:w383,一日,ついたち,一号（日期）,one day; first day of the month
lesson_n5:w384,使う,つかう,使用,to use
lesson_n5:w385,疲れる,つかれる,累，疲劳,to get (become) tired; to become fatigued
lesson_n5:w386,次,つぎ,下一个，其次,next
lesson_n5:w387,着く,つく,到达,"to arrive at, to reach"
lesson_n5:w388,机,つくえ,桌子,desk
lesson_n5:w389,作る,つくる,做，制作,"to make, to create"
lesson_n5:w390,---,つける,打开（电灯等）,"to turn on (e.g., a light); to take"
lesson_n5:w391,勤める,つとめる,工作，任职,to work (for)
lesson_n5:w392,---,つまらない,无聊，没意思,"boring, dull; insignificant"
lesson_n5:w393,冷たい,つめたい,凉，冰凉（东西冷）,"cold (things, people)"
lesson_n5:w394,強い,つよい,强,"strong, powerful"
lesson_n5:w395,手,て,手,hand
lesson_n5:w396,---,テープ,tape，磁带，胶带,tape
lesson_n5:w397,---,テープレコーダー,tape recorder，磁带录音机,tape recorder
lesson_n5:w398,---,テーブル,table，桌子，餐桌,table
lesson_n5:w399,出かける,でかける,出门，外出,to go out; to depart
lesson_n5:w400,手紙,てがみ,信,letter
lesson_n5:w401,---,できる,会，能,to be able to (to accomplish)
lesson_n5:w402,出口,でぐち,出口,an exit
lesson_n5:w403,---,テスト,test，考试，测验,test
lesson_n5:w404,---,では,那么,"then, well, so"
lesson_n5:w405,---,デパート,department store，百货商店,(abbr.) department store
lesson_n5:w406,---,でも,但是,"but, however"
lesson_n5:w407,出る,でる,出，出来，离开,"to appear, to leave"
lesson_n5:w408,---,テレビ,TV，电视,"television, TV"
lesson_n5:w409,天気,てんき,天气,weather
lesson_n5:w410,電気,でんき,电，电灯,"electricity, (electric) light"
lesson_n5:w411,電車,でんしゃ,电车,electric train
lesson_n5:w412,電話,でんわ,电话,a telephone
lesson_n5:w413,戸,と,门（日式）,door (Japanese style)
lesson_n5:w414,---,ドア,door，门（西式）,door (Western style)
lesson_n5:w415,---,トイレ,toilet，厕所,bathroom; toilet
lesson_n5:w416,---,どう,怎么样,"how, in what way"
lesson_n5:w417,---,どうして,为什么,"why, for what reason"
lesson_n5:w418,---,どうぞ,请,"please, kindly, by all means"
lesson_n5:w419,動物,どうぶつ,动物,animal
lesson_n5:w420,---,どうも,谢谢；总觉得,Thank you; somehow; no matter how hard one may try
lesson_n5:w421,遠い,とおい,远,"far (away), distant"
lesson_n5:w422,十日,とおか,十天，十号,ten days; tenth day of the month
lesson_n5:w423,時々,ときどき,有时，偶尔,sometimes
lesson_n5:w424,時計,とけい,钟，表,a watch; a clock
lesson_n5:w425,---,どこ,哪里,"where, what place"
lesson_n5:w426,所,ところ,地方,place
lesson_n5:w427,年,とし,年，年龄,"year, age"
lesson_n5:w428,図書館,としょかん,图书馆,library
lesson_n5:w429,---,どちら,哪边，哪位（礼貌说法）,which (one) (way); where (polite)
lesson_n5:w430,---,どっち,哪个，哪边（口语）,"which one, which way"
lesson_n5:w431,---,とても,非常，很,"very (much), greatly, exceedingly"
lesson_n5:w432,---,どなた,哪位,who
lesson_n5:w433,隣,となり,旁边，邻居,"next to, next door to"
lesson_n5:w434,---,どの,哪个（后接名词）,which
lesson_n5:w435,飛ぶ,とぶ,飞,"to fly, to hop"
lesson_n5:w436,止まる,とまる,停，停下,to come to a halt
lesson_n5:w437,友達,ともだち,朋友,friend
lesson_n5:w438,土曜日,どようび,星期六,Saturday
lesson_n5:w439,鳥,とり,鸟，鸡,"chicken (lit., bird)"
lesson_n5:w440,鶏肉,とりにく,鸡肉,chicken meat
lesson_n5:w441,取る,とる,拿，取；选（课）,to take (a class); to get (a grade)
lesson_n5:w442,撮る,とる,拍（照）,"to take (a photo), to make (a film)"
lesson_n5:w443,---,どれ,哪个,which one
lesson_n5:w444,---,どんな,什么样的,"what, what kind of"
lesson_n5:w445,---,ない,没有，不存在,"there isn't, doesn't have"
